"Pay with Allpaypayz","Pay with Allpaypayz"
"You will be redirected to Allpaypayz to complete payment.","You will be redirected to Allpaypayz to complete payment."
"Allpaypayz: order not found in session.","Allpaypayz: order not found in session."
"Allpaypayz: %1","Allpaypayz: %1"
"Allpaypayz: payment confirmed via webhook.","Allpaypayz: payment confirmed via webhook."
